Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,4.0,0.35,0.4,0.001,50,0.0022778059355914593,0.97213465,0.6059949,0.6021318,0.6040571928024292,0.7021264,0.9746275544166565,188059.0,124263.0,8412766.0,122272.0
Adam,SFCE,4.0,0.4,0.4,0.001,50,0.0026326188817620277,0.9635185,0.6525742,0.48510763,0.5565153360366821,0.6740999,0.964464008808136,202514.0,214948.0,8322081.0,107817.0
Adam,SFCE,4.0,0.45,0.4,0.001,50,0.002639925805851817,0.9638856,0.76798,0.49054632,0.5986839532852173,0.69505775,0.9717736840248108,238328.0,247514.0,8289515.0,72003.0
Adam,SFCE,4.0,0.5,0.4,0.001,50,0.002650083275511861,0.96606725,0.76213783,0.5109264,0.611746609210968,0.7028972,0.9740537405014038,236515.0,226399.0,8310630.0,73816.0
Adam,SFCE,4.0,0.55,0.4,0.001,50,0.003055877983570099,0.92133754,0.8502212,0.28888983,0.4312490224838257,0.5969095,0.9578516483306885,263850.0,649474.0,7887555.0,46481.0
Adam,SFCE,4.0,0.6,0.4,0.001,50,0.0035678609274327755,0.9632137,0.7958857,0.48513967,0.6028228998184204,0.6968075,0.9715330004692078,246988.0,262119.0,8274910.0,63343.0
Adam,SFCE,4.0,0.65,0.4,0.001,50,0.003241797210648656,0.96075994,0.803049,0.46558696,0.5894348621368408,0.688747,0.9703689813613892,249211.0,286051.0,8250978.0,61120.0
Adam,SFCE,4.0,0.7,0.4,0.001,50,0.003123534144833684,0.95703644,0.84587425,0.44133762,0.5800396800041199,0.6821058,0.9744771122932434,262501.0,332282.0,8204747.0,47830.0
Adam,SFCE,4.0,0.75,0.4,0.001,50,0.002408418571576476,0.9470623,0.89560825,0.3893203,0.542720377445221,0.6588828,0.9778942465782166,277935.0,435963.0,8101066.0,32396.0
Adam,SFCE,4.0,0.8,0.4,0.001,50,0.0032067943830043077,0.9511131,0.8494382,0.40592206,0.5493334531784058,0.66414416,0.9711299538612366,263607.0,385796.0,8151233.0,46724.0
Adam,SFCE,4.0,0.85,0.4,0.001,50,0.0052122753113508224,0.9533143,0.82734567,0.41665748,0.5542104244232178,0.6676231,0.9629656672477722,256751.0,359465.0,8177564.0,53580.0
Adam,SFCE,4.0,0.9,0.4,0.001,50,0.0032722933683544397,0.93793684,0.8776758,0.34763065,0.4980093240737915,0.6337658,0.9679022431373596,272370.0,511134.0,8025895.0,37961.0
Adam,SFCE,4.0,0.95,0.4,0.001,50,0.003532862290740013,0.9260958,0.8903429,0.30832762,0.45803630352020264,0.6103804,0.9646183252334595,276301.0,619827.0,7917202.0,34030.0
Adam,SFCE,4.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,5.0,0.0,0.4,0.001,50,0.0032605878077447414,0.962679,0.7988632,0.48074308,0.6002610325813293,0.69521976,0.9736347794532776,247912.0,267771.0,8269258.0,62419.0
